Agent_Code,Agent_Name,Agent_File,Primary_Skill,Description
DIR,Director K,lnd-orchestrator.agent.yaml,services/gooner-alchemist,"Master Orchestrator"
GA,Kana,manga-adapter.agent.yaml,core/panel-forensic,"Visual Context & POC Hypothesis Specialist"
MOD,Suki,lewd-writer.agent.yaml,core/lewd-writer,"R18 Prose Generation and Modification"
QA,Riko,gooner-editor.agent.yaml,services/quality-audit,"Quality Assurance and Formatting Audit"
CB,Aria,character-architect.agent.yaml,services/character-builder,"Character Profiling and Bible Update"
DC,Miki,dialogue-crafter.agent.yaml,services/dialogue-scripting,"R18 Dialogue & SFX Specialist"
LM,Luna,world-weaver.agent.yaml,,"World Weaver & Scene Planner"
YA,Yua,roleplay-actor.agent.yaml,,"Character Roleplay & Simulation"
PX,Pixel,comfyui-prompter.agent.yaml,,"ComfyUI Image Prompter & Style Encoder"
RE,Cipher,re-specialist.agent.yaml,modules/lnd-re-specialist,"Game RE & 3D Extraction Specialist"
EC,Director K,lnd-orchestrator.agent.yaml,services/erotic-image-captioner,"Erotic Image Captioner (Kana → Luna → Suki Caption Mode)"
SP,Luna,world-weaver.agent.yaml,core/scene-prelude,"Scene Prelude & Erotic Context Builder"
